ID,Name,Age,Salary,Experience,Address,Salary_Duplicate,Gender,Random_Text,Purchase
1,Grace,,,,"101 Blvd, FL",,Female,Something here,Yes
2,David,,,,,,Male,,Yes
3,Eve,,,,"456 Avenue, CA",,Female,Extra info,Yes
4,Grace,,,,"789 Road, TX",,Female,Lorem ipsum,No
5,Charlie,,,,"456 Avenue, CA",,Female,,No
6,Eve,,,,,,Male,More text,Yes
7,Eve,,,,"101 Blvd, FL",,Male,Random data,Yes
8,Grace,,,,"202 Drive, WA",,Female,Random data,No
9,Bob,,,,"456 Avenue, CA",,Male,Extra info,Yes
10,Charlie,,,,,,,Something here,Yes
11,Grace,56,,,"101 Blvd, FL",,,Something here,Yes
12,Charlie,,,,"101 Blvd, FL",,Female,Extra info,Yes
13,Charlie,,,,"202 Drive, WA",,,Extra info,Yes
14,Eve,58,,,,,,Something here,No
15,David,,,,"123 Street, NY",,Male,Extra info,Yes
16,Charlie,,,,,,,,No
17,Frank,,,,"101 Blvd, FL",,Female,Something here,No
18,Eve,,,,"789 Road, TX",,,,Yes
19,Bob,,,,,,,Lorem ipsum,Yes
20,David,,,,"303 Lane, CO",,,Random data,No
21,Frank,,,,"202 Drive, WA",,Male,Extra info,Yes
22,Frank,,,,"123 Street, NY",,Male,More text,No
23,Bob,51,,,"202 Drive, WA",,Male,,Yes
24,David,,,,"303 Lane, CO",,,More text,No
25,Eve,,,6,"456 Avenue, CA",,Male,More text,Yes
26,Alice,,,,"101 Blvd, FL",,Male,,No
27,David,,,,"101 Blvd, FL",,Male,Something here,No
28,Bob,,,,"202 Drive, WA",,Female,Lorem ipsum,No
29,Frank,,50000,,"456 Avenue, CA",50000,Female,,No
30,Eve,,,,"303 Lane, CO",,,Lorem ipsum,Yes
31,David,,,,"202 Drive, WA",,,Extra info,Yes
32,Alice,,,,"789 Road, TX",,Male,,Yes
33,Alice,,,,"101 Blvd, FL",,Female,Lorem ipsum,No
34,Charlie,,,,"101 Blvd, FL",,,More text,No
35,Charlie,,,,"789 Road, TX",,,,Yes
36,Grace,,,,"123 Street, NY",,Male,Lorem ipsum,No
37,Bob,36,,,"303 Lane, CO",,Female,Extra info,No
38,David,,,,"101 Blvd, FL",,Female,Random data,Yes
39,David,,,,"303 Lane, CO",,,,No
40,Grace,,,,"202 Drive, WA",,Male,More text,No
41,Frank,,,,"123 Street, NY",,,,No
42,Frank,,,,"123 Street, NY",,Male,Something here,No
43,Grace,,,,"202 Drive, WA",,Female,More text,No
44,Frank,,,,"303 Lane, CO",,,Extra info,Yes
45,Charlie,,,,"789 Road, TX",,Male,More text,No
46,David,,,,"123 Street, NY",,Male,Lorem ipsum,Yes
47,Grace,,,,"101 Blvd, FL",,Male,Extra info,No
48,David,,,,"456 Avenue, CA",,,Extra info,No
49,Alice,,,,"123 Street, NY",,,Random data,No
50,Charlie,,,,"789 Road, TX",,,More text,Yes
51,Eve,,,,"202 Drive, WA",,Female,More text,Yes
52,Charlie,,,,"101 Blvd, FL",,Male,More text,Yes
53,Grace,,,,"456 Avenue, CA",,Male,Extra info,Yes
54,Eve,,,,"123 Street, NY",,Male,Lorem ipsum,No
55,Alice,,,,"789 Road, TX",,Male,Random data,No
56,Grace,,,,"456 Avenue, CA",,Female,Random data,Yes
57,Bob,,,,"456 Avenue, CA",,Male,Something here,No
58,David,,,,"101 Blvd, FL",,Female,Random data,Yes
59,Alice,34,,,,,,More text,Yes
60,David,,,,"101 Blvd, FL",,,Something here,Yes
61,Frank,,,,"123 Street, NY",,Male,Something here,No
62,Bob,,,,"123 Street, NY",,,Lorem ipsum,No
63,Bob,,,,"456 Avenue, CA",,Male,Random data,No
64,Alice,,,,"789 Road, TX",,Female,,Yes
65,Bob,,,,"456 Avenue, CA",,,Random data,Yes
66,Eve,,,,"303 Lane, CO",,,More text,No
67,Bob,,,,"789 Road, TX",,Female,Lorem ipsum,Yes
68,David,,,,"101 Blvd, FL",,Female,Extra info,No
69,David,,,,"789 Road, TX",,Female,Extra info,Yes
70,Grace,,,,"789 Road, TX",,Male,Extra info,Yes
71,David,,,,"101 Blvd, FL",,Male,Something here,No
72,Grace,,,,"202 Drive, WA",,,,Yes
73,David,,,,"303 Lane, CO",,,Extra info,Yes
74,Eve,,,,"456 Avenue, CA",,Female,More text,Yes
75,Grace,,,,"123 Street, NY",,Male,Extra info,Yes
76,Charlie,,,,"789 Road, TX",,Female,,Yes
77,Frank,,,,"123 Street, NY",,Female,Random data,No
78,Alice,,,,"303 Lane, CO",,Male,Lorem ipsum,Yes
79,David,,,,"123 Street, NY",,,Lorem ipsum,Yes
80,Bob,,,,"456 Avenue, CA",,,Random data,No
81,David,,,,"202 Drive, WA",,,Lorem ipsum,Yes
82,Bob,,,,"202 Drive, WA",,,,Yes
83,Frank,,,,"303 Lane, CO",,,Lorem ipsum,No
84,Frank,,,,"303 Lane, CO",,Male,Random data,No
85,Frank,,,,"202 Drive, WA",,Male,More text,Yes
86,Bob,,,,"202 Drive, WA",,Female,Something here,No
87,David,,,,"101 Blvd, FL",,,Extra info,No
88,Frank,,,,"123 Street, NY",,,Random data,Yes
89,Eve,,,,"123 Street, NY",,Male,Random data,No
90,Grace,,,,"303 Lane, CO",,Female,Lorem ipsum,No
91,Bob,,,,,,Male,Extra info,No
92,Bob,,,,"303 Lane, CO",,Male,Something here,Yes
93,David,,,,,,,Something here,No
94,Bob,,,,"303 Lane, CO",,Male,Random data,Yes
95,Bob,,,,"101 Blvd, FL",,Male,,Yes
96,Frank,,,,,,,More text,Yes
97,David,50,,,"456 Avenue, CA",,,More text,Yes
98,Frank,,,,"789 Road, TX",,,Random data,No
99,Grace,,,,"202 Drive, WA",,,,Yes
100,Grace,,,,"202 Drive, WA",,Male,More text,Yes
101,Frank,,,,"101 Blvd, FL",,Male,,No
102,Grace,,,,,,,Extra info,Yes
103,David,,,,"202 Drive, WA",,Male,More text,No
104,Alice,,,,"101 Blvd, FL",,Male,Extra info,Yes
105,Frank,,,,"789 Road, TX",,Female,,Yes
106,Eve,,,,,,Female,More text,No
107,Eve,,,,"123 Street, NY",,Female,,Yes
108,Bob,,,,"202 Drive, WA",,Male,Something here,Yes
109,Grace,,,,"456 Avenue, CA",,,Random data,Yes
110,Eve,,,,"101 Blvd, FL",,Male,,Yes
111,Bob,,,,,,Female,,Yes
112,Alice,43,,,"303 Lane, CO",,Male,Extra info,Yes
113,David,,,,"789 Road, TX",,Female,Something here,No
114,David,,,,,,,Random data,No
115,David,,,,"456 Avenue, CA",,,Something here,Yes
116,Eve,,,,"123 Street, NY",,,Extra info,Yes
117,Alice,,,,"456 Avenue, CA",,,More text,Yes
118,Eve,,,,"101 Blvd, FL",,Female,Random data,Yes
119,Grace,,,,"202 Drive, WA",,Female,,Yes
120,Eve,,,,"123 Street, NY",,Female,,Yes
121,Alice,,,,"101 Blvd, FL",,Male,Something here,Yes
122,Alice,,,,"789 Road, TX",,Female,More text,No
123,Grace,,,,"456 Avenue, CA",,,Lorem ipsum,Yes
124,Alice,,,,"456 Avenue, CA",,Female,Extra info,Yes
125,Alice,,,,"123 Street, NY",,Female,Extra info,Yes
126,David,,,,"123 Street, NY",,Male,,No
127,Grace,,,,"789 Road, TX",,Male,More text,No
128,Charlie,,,,"789 Road, TX",,Male,More text,No
129,Charlie,,,,"123 Street, NY",,Male,Random data,Yes
130,Alice,,,,,,Female,,No
131,Charlie,56,,,"101 Blvd, FL",,Female,Something here,No
132,Charlie,,,,"101 Blvd, FL",,,Lorem ipsum,No
133,Alice,,,,"123 Street, NY",,,,Yes
134,Charlie,,,,"456 Avenue, CA",,Male,Random data,No
135,Eve,,,,,,Female,Random data,No
136,Bob,,,,"303 Lane, CO",,,Lorem ipsum,Yes
137,Grace,,,,"202 Drive, WA",,Female,,Yes
138,Bob,,,,"789 Road, TX",,Female,Extra info,Yes
139,Alice,,,,"101 Blvd, FL",,Female,Random data,No
140,David,,,,"202 Drive, WA",,Female,,No
141,Grace,,,,"456 Avenue, CA",,Male,Extra info,No
142,Alice,,,,"789 Road, TX",,,Something here,No
143,David,,,,"101 Blvd, FL",,Female,More text,No
144,Bob,,,,"101 Blvd, FL",,Female,Something here,Yes
145,Alice,,,,"456 Avenue, CA",,Female,More text,Yes
146,Grace,,,,"456 Avenue, CA",,,Random data,No
147,Grace,,,,"101 Blvd, FL",,Male,More text,Yes
148,Frank,,,,"101 Blvd, FL",,Male,Lorem ipsum,No
149,Eve,,,,"202 Drive, WA",,Female,Lorem ipsum,No
150,Charlie,,,,"456 Avenue, CA",,Female,Something here,Yes
151,David,,,,"303 Lane, CO",,Male,Lorem ipsum,No
152,Frank,58,,,"456 Avenue, CA",,,Something here,Yes
153,Charlie,,,,"202 Drive, WA",,Female,Extra info,No
154,Charlie,,,,"456 Avenue, CA",,,Extra info,Yes
155,Alice,,,,"123 Street, NY",,Male,Something here,Yes
156,Charlie,,,,,,Female,Something here,No
157,Eve,,,,"789 Road, TX",,Female,Something here,Yes
158,Grace,,,,"123 Street, NY",,,,No
159,Frank,,,,,,,,No
160,Charlie,,,,"303 Lane, CO",,,More text,No
161,Alice,,,,"456 Avenue, CA",,Female,,No
162,Eve,,,,"202 Drive, WA",,Male,,Yes
163,Bob,,,,"101 Blvd, FL",,Male,Lorem ipsum,Yes
164,Grace,,,,"456 Avenue, CA",,Male,More text,No
165,Grace,,,,"101 Blvd, FL",,,More text,No
166,Frank,,,,"789 Road, TX",,,More text,No
167,Grace,,,,,,Male,Extra info,Yes
168,Charlie,,,,"123 Street, NY",,Female,Extra info,Yes
169,Alice,,,,"789 Road, TX",,Male,More text,No
170,Grace,,,,"101 Blvd, FL",,,Random data,Yes
171,Grace,,,,,,,More text,Yes
172,Bob,49,,,"789 Road, TX",,,Random data,Yes
173,Bob,,,,"101 Blvd, FL",,,Random data,No
174,David,,,,"123 Street, NY",,Male,Lorem ipsum,No
175,Eve,35,,,"101 Blvd, FL",,Male,Something here,Yes
176,Charlie,,,,"123 Street, NY",,Female,More text,Yes
177,Grace,,,,"456 Avenue, CA",,,More text,Yes
178,Grace,,,,"101 Blvd, FL",,Male,More text,Yes
179,Alice,,,,"789 Road, TX",,,Something here,Yes
180,David,,,,,,,Random data,No
181,Eve,,,,"202 Drive, WA",,,More text,Yes
182,David,,,,"789 Road, TX",,Female,More text,No
183,Frank,,,,"303 Lane, CO",,,Something here,No
184,Eve,,,,,,,Extra info,Yes
185,Grace,,,,"202 Drive, WA",,Male,Something here,No
186,Grace,,,,"789 Road, TX",,,,Yes
187,Eve,,,,"101 Blvd, FL",,Female,Something here,Yes
188,Grace,,,,"456 Avenue, CA",,Female,Extra info,Yes
189,Charlie,,45000,,"303 Lane, CO",45000,,Lorem ipsum,Yes
190,Eve,,,,"101 Blvd, FL",,Female,Something here,No
191,David,,,,"123 Street, NY",,Female,Something here,Yes
192,Eve,,65000,,"456 Avenue, CA",65000,Female,,No
193,Grace,,,,,,Female,More text,Yes
194,Charlie,,,,"303 Lane, CO",,Male,Random data,Yes
195,Charlie,,,,"101 Blvd, FL",,,Random data,Yes
196,Frank,,,,"456 Avenue, CA",,Male,Something here,No
197,David,,,,"123 Street, NY",,Male,Random data,Yes
198,Bob,,,,"303 Lane, CO",,Male,More text,No
199,Bob,,,,"202 Drive, WA",,Female,Something here,No
200,Eve,,,,,,Female,Something here,Yes
201,Frank,,,,"303 Lane, CO",,Female,Something here,Yes
202,Alice,59,,,,,,More text,Yes
203,Eve,,,,,,,Random data,Yes
204,Frank,,,,"456 Avenue, CA",,,Something here,No
205,David,,,,"456 Avenue, CA",,Female,Extra info,No
206,David,,,,"123 Street, NY",,Female,Something here,No
207,David,,,,"303 Lane, CO",,Female,Random data,Yes
208,David,,,,"101 Blvd, FL",,Male,Lorem ipsum,Yes
209,David,,,,"202 Drive, WA",,Male,Lorem ipsum,Yes
210,Frank,,,,"456 Avenue, CA",,Female,Lorem ipsum,Yes
211,Frank,,,,"456 Avenue, CA",,Male,,No
212,Charlie,,,,"456 Avenue, CA",,Female,Extra info,No
213,Bob,,,,"456 Avenue, CA",,Female,Lorem ipsum,Yes
214,Grace,,,,"303 Lane, CO",,Male,More text,Yes
215,David,,,,"123 Street, NY",,Female,More text,No
216,Alice,,,,"456 Avenue, CA",,,Lorem ipsum,No
217,Grace,,,,"202 Drive, WA",,,Lorem ipsum,No
218,Frank,,,,"123 Street, NY",,Male,Random data,No
219,Alice,,,,"303 Lane, CO",,Female,More text,Yes
220,Alice,,,,"456 Avenue, CA",,Female,Random data,Yes
221,Alice,,,,"303 Lane, CO",,Female,,Yes
222,Charlie,,,,"202 Drive, WA",,Male,Random data,No
223,Frank,,,,"789 Road, TX",,Female,Lorem ipsum,Yes
224,Alice,,,,"789 Road, TX",,,Random data,Yes
225,David,,,,"202 Drive, WA",,,,Yes
226,Eve,51,,,"456 Avenue, CA",,,Lorem ipsum,Yes
227,Alice,,,,"456 Avenue, CA",,Male,Lorem ipsum,No
228,Charlie,,,,"123 Street, NY",,,Something here,No
229,Grace,,,,"456 Avenue, CA",,,More text,Yes
230,Frank,,,,"123 Street, NY",,Male,Extra info,Yes
231,Charlie,,,,"456 Avenue, CA",,Female,,No
232,Alice,,,,"303 Lane, CO",,Female,More text,Yes
233,Frank,,,,"101 Blvd, FL",,Female,Extra info,Yes
234,Eve,,,,"101 Blvd, FL",,,Something here,Yes
235,Alice,,,,"202 Drive, WA",,Female,Something here,No
236,Charlie,,,,,,,More text,Yes
237,Bob,,,,,,Female,Something here,No
238,David,,,,,,,Something here,Yes
239,Grace,,,,"303 Lane, CO",,Male,Lorem ipsum,Yes
240,Charlie,,,,,,,Something here,Yes
241,Frank,,,,"101 Blvd, FL",,Male,Random data,Yes
242,Alice,,,,,,Male,Something here,No
243,David,,,,"789 Road, TX",,Male,,Yes
244,Alice,,,,"789 Road, TX",,Female,,Yes
245,Frank,,,,,,Female,,No
246,Alice,,,,,,Female,,No
247,Bob,,,,"123 Street, NY",,Male,Extra info,No
248,David,,,,"789 Road, TX",,Male,More text,No
